date,open,high,low,close
2017-07-15 02-AM,2187.79,2187.79,2135,2136.68
2017-07-15 03-AM,2136.68,2162.77,2100.59,2101.02
2017-07-15 04-AM,2101.02,2145.34,2095.01,2130.03
2017-07-15 05-AM,2130.03,2137.52,2093.93,2095
2017-07-15 06-AM,2095,2127.14,2091.5,2106.19
2017-07-15 07-AM,2106.19,2108.8,2056.55,2064.96
2017-07-15 08-AM,2064.96,2084.41,2047.29,2064.28
2017-07-15 09-AM,2064.28,2100,2053.2,2078.45
2017-07-15 10-AM,2078.45,2103.49,2074.86,2095.35
2017-07-15 11-AM,2095.35,2095.4,2058.85,2065.79
2017-07-15 12-PM,2065.79,2065.79,2015.1,2041.98
2017-07-15 01-PM,2041.98,2070.19,2016.27,2022.94
2017-07-15 02-PM,2022.94,2022.94,1975.01,2011.26
2017-07-15 03-PM,2011.26,2043.88,1995,2031.1
2017-07-15 04-PM,2031.1,2073.95,2021.82,2055.96
2017-07-15 05-PM,2055.96,2110.06,2052.07,2082.99
2017-07-15 06-PM,2082.99,2097.41,2065.5,2076.07
2017-07-15 07-PM,2076.07,2094.98,2070.4,2085.96
2017-07-15 08-PM,2085.96,2085.96,2012,2012.98
2017-07-15 09-PM,2012.98,2053.52,2001.03,2031
2017-07-15 10-PM,2031,2055.95,2018.53,2026.65
2017-07-15 11-PM,2026.65,2045.63,1964.31,1964.31
2017-07-16 12-AM,1964.31,1996.99,1933.96,1954.7
2017-07-16 01-AM,1954.7,2004.36,1941.54,1980.59
2017-07-16 02-AM,1980.59,2030.52,1977.05,2018.45
2017-07-16 03-AM,2018.45,2043.94,2012.71,2018.67
2017-07-16 04-AM,2018.67,2028,1991.28,1998.95
2017-07-16 05-AM,1998.95,2017.23,1990.28,1999.91
2017-07-16 06-AM,1999.91,1999.92,1948.63,1984.86
2017-07-16 07-AM,1984.86,1987.78,1952.65,1956.31
2017-07-16 08-AM,1956.31,1972.7,1950.63,1964.42
2017-07-16 09-AM,1964.42,1964.43,1905,1905.5
2017-07-16 10-AM,1905.5,1921.19,1900.01,1906.61
2017-07-16 11-AM,1906.61,1906.64,1843.56,1843.92
2017-07-16 12-PM,1843.92,1858.27,1785.01,1785.01
2017-07-16 01-PM,1785.01,1928.03,1758.2,1890.96
2017-07-16 02-PM,1890.96,1898.67,1852,1875.53
2017-07-16 03-PM,1875.53,1919.99,1875.53,1886.52
2017-07-16 04-PM,1886.52,1956.07,1886.52,1954.01
2017-07-16 05-PM,1954.01,1954.01,1912.97,1938.02
2017-07-16 06-PM,1938.02,1938.2,1891.73,1904.17
2017-07-16 07-PM,1904.17,1904.17,1853.56,1854.27
2017-07-16 08-PM,1854.27,1904.98,1852,1866.15
2017-07-16 09-PM,1866.15,1898,1852.06,1888.7
2017-07-16 10-PM,1888.7,1921.91,1872.27,1921.91
2017-07-16 11-PM,1921.91,1938,1891.07,1910.86
2017-07-17 12-AM,1910.86,1939.95,1909.58,1936.96
2017-07-17 01-AM,1936.96,1979.19,1923.95,1972.37
2017-07-17 02-AM,1972.37,1978.71,1946.85,1947.4
2017-07-17 03-AM,1947.4,1955.67,1921.22,1952.77
2017-07-17 04-AM,1952.77,1974.99,1952.77,1972.98
2017-07-17 05-AM,1972.98,1979.99,1956.43,1978
2017-07-17 06-AM,1978,2029.64,1977.99,2028.48
2017-07-17 07-AM,2028.48,2078.81,2024.51,2055.87
